Country Name,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,per_si_allsi.cov_q1_tot,per_si_allsi.cov_q5_tot,per_allsp.cov_pop_tot,per_sa_allsa.cov_pop_tot,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Austria,7.00600004196167,2017,..,..,..,..,..,..,49.9096377546054,..,..,..,..,..,..,..,..,..,..,416595666396.636,3.03527267887569,28.3679886969999,..,6.75539356546058,2.2,3.6,8809212,..,..,..,83879.00390625,..,104.707771937866,5.49900007247925,..
Azerbaijan,5.212000000000001,2015,100,94.26275,..,..,2.60701541831002,28.59109432,40.1514174415463,17.2,..,..,..,..,5.7,..,55.66633,24.7887090842221,0.51146978,53074370486.0433,1.0999998090951,30.9016182420008,99.94278,7.70000395067927,13.6,26.4,9649341,..,13.49787,2.31075768577815,86600,15.6031629275469,72.6015079073189,4.96000003814697,..
Azerbaijan,5.291,2016,100,94.96529,..,..,2.60701541831002,22.8174167,40.8816025988089,16.3,..,..,..,..,5.8,..,72.42741,..,..,37867518957.1975,-3.10000020204575,28.4594837915307,99.9404799999999,-1.59949737759598,12.6,24.6,9757812,7.12627,15.48619,..,86600,..,90.0773187345677,5,..
Azerbaijan,5.234000205993651,2017,..,94.05446,..,..,..,..,41.4331825466844,..,..,..,..,..,..,..,..,..,..,40747792237.9735,0.099999813900368,30.8608670979296,..,-1.80000055227445,11.8,23,9862429,7.3865,15.458,..,86600,..,90.6635906985233,5,..
Bahrain,5.96,2015,100,97.99544,8.20813486794722,5.41130572336004,2.91,..,30.1643071101703,15.111,..,..,..,..,2.348,32.98692,44.22464,..,..,31125851063.8298,2.86196782508222,37.299843121439,..,3.20133459974186,3.2,7.6,1371855,9.86281,11.73164,0,778.000030517578,..,154.067392842373,..,..
Bahrain,6.218,2016,100,97.90026,1.93493394314071,-1.87847717602499,2.91,..,29.2565420904034,14.762,..,..,..,..,2.359,..,..,..,..,32152686170.2128,3.21593363864166,37.8715752050762,..,5.20937806043584,3.2,7.5,1425171,9.79181,12.05837,..,778.000030517578,..,139.553543142304,..,..
Bahrain,6.08699989318848,2017,..,98.86201,..,..,..,..,28.3595412855871,..,..,..,..,..,..,..,..,..,..,35307127659.5745,3.88483053415689,..,..,1.04972747459794,3.1,7.3,1492584,10.1467,12.15924,..,778.000030517578,..,..,..,..
Bangladesh,4.694,2015,68.2046813964844,..,6.05434545962262,4.87301246690126,1.73867129203447,33.85177628,52.5785110798697,19.29,..,..,..,..,5.312,..,..,9.00588487034226,10.9610269,195078678697.23,6.55265279631962,22.1584701382232,87.8887699999999,10.31057686857,20.7,36.4,161200886,..,..,34.7470690115416,147630,8.49834882820801,42.0859963070382,..,..
Bangladesh,4.643,2016,75.92,..,6.53161819008467,5.3870931904878,1.6533660805408,35.09996818,51.4654234704502,18.95,..,..,..,..,5.284,..,64.32827,9.41891628073041,..,221415188000.475,7.1134894741232,24.9777492623627,92.24265,11.6908152010428,19.5,34.3,162951560,36.192,..,..,147630,8.76502765162342,37.9542963529911,4.34999990463257,..
Bangladesh,4.60799980163574,2017,..,95.14922,..,..,..,..,50.3040615510256,..,..,..,..,..,..,..,..,..,..,249723862487.361,7.28418409195113,25.3292514401144,92.95076,10.9652075940901,18.4,32.4,164669751,33.98251,30.05456,..,147630,..,35.3040000906967,4.37230014801025,..
